Saite uz resursu,Klase,Tēma,Nodarbība,Aktivitāte,Resursa nosaukums,Resursa apraksts,Resursa veids,Resursa apskates ilgums,Resursa veidotājs,Skola2030 vērtības,Skola2030 tikumi,"""e-TAP"" vērtības","""e-TAP"" tikumi",Komentāri
http://abjc.lv/?page_id=48,7. klase,Brīvprātīgais darbs,1. nodarbība: Kāpēc jāveic brīvprātīgais darbs?,3. aktivitāte. Tava kopiena ,Kas ir brīvprātīgais darbs?,"Rakstā skaidrots, kas ir brīvprātīgais darts, kā var kļūt par brīvprātīgo, kādas ir tā iespējas un darba principi.",Raksts;,2,Alūksnes Bērnu un jauniešu centrs,brīvība; darbs; Latvijas valsts ,centība; atbildība ,atbildība ,pašiniciatīva; apņēmīgums; atvērtība jaunajam ,
http://tests.dreamfoundation.eu/career-test/page3,3. klase,Karjera,"3. nodarbība - Vai ir tādi darbi, kas paredzēti zēniem, un darbi, kas paredzēti meitenēm?",noslēguma apspriede: karjeras tests,Karjeras tests - dream! foundation (latviski),"Karjeras tests sevis iepazīšanai. Pirmā daļa par rakstura iezīmēm, otrā - par aktivitātēm, kas patīk, trešā - par profesijām, kas patīktu.",karjeras tests;,15,dream foundation,darbs ,gudrība ,atbildība ,atvērtība jaunajam; pašiedziļināšanās ,testa beigās lūdz ievadīt e-pastu
http://www.esibrivs.lv/lv/tests/cik_lidzatkarigs_tu_esi,7. klase,Narkotikas alkohols,2. nodarbība: Ieradumi,Ierosme. Tests par atkarību un alkoholu ,Cik līdzatkarīgs tu esi?,"Testā iekļauti apgalvojumi, kas raksturo “tipisku” līdzatkarīgu personību. Skolēnam jāatzīmē atbilstoša atbilde. ",Tests;,5,"Biedrība ""Esi brīvs""",dzīvība (veselība) ,godīgums ,cilvēks kā persona; patiesība; atbildība ,atklātība; pašiedziļināšanās; kritiskā spriestspēja ,
http://www.esibrivs.lv/lv/tests/identifikacijas_tests,7. klase,Narkotikas alkohols,2. nodarbība: Ieradumi,Ierosme. Tests par atkarību un alkoholu ,Alkohola lietošanas traucējumu identifikācijas tests ,Testā iekļauti dažādi jautājumi par saskarsmi ar alkoholu vai tā lietošanas biežumu.,Tests;,5,"Biedrība ""Esi brīvs""",dzīvība (veselība) ,savaldība; mērenība ,atbildība ,kritiskā spriestspēja; pašiedziļināšanās; atklātība ,
http://www.kvk.lv/mate-tereze-no-kalkutas-1910-1997/,9. klase,Veselīgas attiecības,3. nodarbība: Vienaudžu izdarītais spiediens,4. aktivitāte. Kā veidojas ļaužu interese par ievērojamām personībām? (ieteicamais laiks 10-15 min.),Māte Terēze no Kalkutas (1910–1997),Resursā pieejama informācija par Māti Terēzi un viņas dzīves gājumu.,Biogrāfija;,5,Kristīgās vadības koledža,cieņa; brīvība ,gudrība; laipnība; līdzcietība ,cilvēks kā persona; rūpes; mīlestība; miers ,dāsnums; pateicīgums; pazemība ,
http://www.mazgarokas.lv,Pirmsskola (5 gadi),Mana veselība,1. nodarbība: Tīras rokas,Kolēģu komentāri - tēmas papildināšanai,Mazgā rokas pareizi - 8 roku mazgāšanas soļi,"Mācību materiāli, lai apgūtu pareizu roku mazgāšanas tehniku. (Plakāti, uzdevumi, u.c.)","Video - dziesma
;Mājas lapa
;",0,mazgarokas.lv,ģimene; dzīvība (veselība) ,centība; atbildība ,atbildība ,apņēmīgums; čaklums ,
http://www.mediacija.lv/?Projekti:%22Vienaud%C5%BEu_medi%C4%81cija_%26ndash%3B_ce%C4%BC%C5%A1_uz_sadarb%C4%ABbu%21%22,4. klase,Konfliktu risināšana,3. nodarbība: Mediatori,1. aktivitāte. Mediatori ,"""Vienaudžu mediācija – ceļš uz sadarbību!""","Raksts par biedrības ""Integrācija sabiedrībai” organizēto projektu ""Vienaudžu mediācija – ceļš uz sadarbību!”",Raksts;,4,mediacija.lv,cieņa; kultūra ,tolerance; laipnība; godīgums; savaldība ,cilvēks kā persona; cieņa; patiesība; harmonija; saskaņa ,empātija; atvērtība jaunajam; pašiedziļināšanās; pašvadība; draudzīgums ,
http://www.videsfonds.lv/documents/ekoskolu-dabas-izgl-t-bas-materi-ls-pirmsskol-m.pdf,Pirmsskola (6 gadi),Kopiena,"1. nodarbība: Kopienas, pie kurām mēs piederam",Tikumu praktizēšanas iespējas.,Ekoskolu metodiskais dabas izglītības materiāls pirmsskolai,"Ekoskolas piedāvātajā metodiskajā materiālā pieejamas dažādas tikumu praktizēšanas iespējas. Piemēram, projekts “Kā izglītības iestādes apkārtni padarīt dabiskāku? . ",Metodiskais materiāls;,0,"Latvijas vides aizsardzības fonds, Meža attīstības fonds",daba; cieņa ,atbildība; gudrība ,rūpes; daba ,līdzdalīgums; pašvadība; apņēmīgums ,
https://42money.ru/lv/domashnijj-ochag/opra-uinfri-mirovaya-zvezda-televideniya-istorii-uspeha.html,8. klase,Tava nākotne,2. nodarbība: Kas tevi dzīvē sagaida?,3. aktivitāte. Apstākļi un dzīve ,Opra Vinfrija ir pasaules  mēroga televīzijas zvaigzne. Veiksmes stāsti.,Biogrāfijā iespējas iepazīties ar Opras Vinfrijas dzīves gājumu.,Biogrāfija;,4,"Psiholoģija, nauda, ​​valsts. Neidentificēts. Internets. Ģimene un bērni",dzīvība (veselība); darbs; ģimene ,centība; drosme ,cilvēks kā persona; brīvība; atbildība ,pateicīgums; pašiniciatīva; pārliecinātība; atvērtība jaunajam; neatlaidība (noturība); atklātība ,
https://beactivelatvia.lv/jaunumi/,5. klase,Fiziskās aktivitātes,2. nodarbība: Mans fizisko aktivitāšu plāns,2. aktivitāte. Plāna izstrāde ,#beactive - jaunumi,"Eiropas sporta nedēļas mājas lapa, jaunumi un informācija par šo tēmu. ","Mājas lapa
;",5,Latvijas sporta federācijas padome,dzīvība (veselība); Latvijas valsts ,centība; drosme; mērenība ,cilvēks kā persona; harmonija; miers ,pašiniciatīva; čaklums; apņēmīgums; pašvadība ,
https://bernistaba.lsm.lv/speles/atminas/variants/164-ievero-higienu,Pirmsskola (5 gadi),Mana veselība,1. nodarbība: Tīras rokas,,Ievēro higiēnu - atmiņas spēle,"Atmiņas spēle ""Ievēro higiēnu"" 18 dažādos līmeņos.","Tiešsaistes spēle - cits
;",0,LSM bērnistaba ,dzīvība (veselība) ,gudrība ,pacietība ,zinātkāre; pašvadība ,
https://bernistaba.lsm.lv/zime/kraso/kategorijas/47,Pirmsskola (5 gadi),Mana veselība,1. nodarbība: Tīras rokas,2. aktivitāte. Dalīšanās ar zināšanām.,Zīmē. Higiēna. ,"Krāsojamās darba lapas bērniem, kurās pa soļiem parādīta roku mazgāšana.","Tiešsaistes spēle - cits
;",0,LSM Bērnistaba,dzīvība (veselība) ,centība ,rūpes; atbildība ,radošums; apņēmīgums; pašiedziļināšanās ,
https://dieviete.lv/zinas/izklaide/143359-macibas-opra-vinfrija/,8. klase,Tava nākotne,2. nodarbība: Kas tevi dzīvē sagaida?,3. aktivitāte. Apstākļi un dzīve ,"Sešas dzīves mācības, ko cilvēkiem sniedz Opra Vinfrija",Rakstā izlasāmas Opras Vinfrijas sešas dzīves mācības.,Raksts;,4,www.dieviete.lv,dzīvība (veselība) ,drosme; mērenība; godīgums; centība ,rūpes; harmonija; atbildība ,pateicīgums; pārliecinātība; atvērtība jaunajam; neatlaidība (noturība) ,
https://drossinternets.lv/lv/info/aitu-dzive,Pirmsskola (6 gadi),Drošība Internetā,"2. nodarbība: Saturs, kas mūs biedē, satrauc vai apbēdina",1. aktivitāte. Dīvainas sajūtas vēderā. ,Aitu dzīve.,"Šajā adresē atradīsiet materiālu kopu, kuras mērķis ir pilnveidot pirmsskolas vecuma bērnu un sākumskolas skolēnu izpratni un zināšanas par interneta vidi, tās radītajiem riskiem, drošu uzvedību interneta vidē, kā arī mudinātu domāt par jēgpilnu un samērīgu tehnoloģiju lietošanu ikdienā.","Video - multiplikācijas īsfilma
;",0,www.drossinternets.lv,brīvība; cieņa ,gudrība; drosme ,atbildība; brīvība ,atklātība; pašiniciatīva ,
https://drossinternets.lv/lv/info/emocionala-pazemosana,6. klase,Kiberterorizēšana,2. nodarbība: Kā reaģēt?,1. aktivitāte. Tikumi un kiberterorizēšana.,Emocionāla pazemošana,"Rakstā skaidrots, kas ir emocionāla pazemošana, kādas pazīmes liecina, ka pusaudzis tādu ir piedzīvojis, kāpēc citi tā rīkojas, kā var rīkoties  un kā no tās var izvairīties.",Raksts;,3,Latvijas Drošāka interneta centrs,dzīvība (veselība); cieņa ,drosme; atbildība; laipnība ,rūpes; atbildība; cilvēks kā persona ,kritiskā spriestspēja; draudzīgums; izpalīdzība ,
https://drossinternets.lv/lv/info/uzticibas-talrunis,2. klase,Kiberterorizēšana,2. nodarbība - Kā kiberterorizēšana mūs ietekmē?,noslēguma apspriede: kur saņemt palīdzību,Uzticības tālruņa 116111 mājas lapa ,"mājas lapa ar uzticība tālruni un saite - Uzticības tālrunis (116111), ko nodrošina nodrošina Valsts bērnu tiesību aizsardzības inspekcija. Atrunāts kādos gadījumos zvanīt 116111: ""Izmantojot internetu"", ""ģimenē"", ""skolā"", ""Tu pats""","Mājas lapa
;",3,drossinternets.lv,dzīvība (veselība); cieņa ,atbildība; gudrība; drosme ,uzticība; cieņa; rūpes; atbildība; miers ,izpalīdzība; atklātība ,
https://drossinternets.lv/lv/info/vaifija-interneta-alfabets,Pirmsskola (6 gadi),Drošība Internetā,1. nodarbība: Internets ir lielisks,Tikumu praktizēšanas iespējas,Vaifija interneta alfabēts," Vaifijs -  zēns, kurš dzīvo internetā, māca bērniem svarīgākos vārdus, kas jāzina katram interneta lietotājam.","Mājas lapa
;",0,www.drossinternets.lv,darbs; cieņa ,atbildība; gudrība ,atbildība; patiesība ,zinātkāre; attapība; pašvadība ,
https://drossinternets.lv/lv/materials/download/dzejoli-par-internetu,Pirmsskola (6 gadi),Drošība Internetā,1. nodarbība: Internets ir lielisks,Papildmateriāli. ,Dzejoļi par internetu,"Šajā materiālā ir apkopoti dzejoļi, lai rosinātu klasē sarunas par mobilo telefonu, internetu, datoru, drošību internetā, jēgpilnu interneta lietošanu, atkarībām un citiem mūsdienās nozīmīgiem jautājumiem. ",PDF - dzejoļi;,0,www.drossinternets.lv,darbs ,gudrība ,harmonija ,zinātkāre ,
https://drossinternets.lv/lv/materials/download/rokasgramata-skolotajiem-supervaroni-interneta-darbam-pirmsskola ,Pirmsskola (6 gadi),Drošība Internetā,"2. nodarbība: Saturs, kas mūs biedē, satrauc vai apbēdina",Papildmateriāli,"Rokasgrāmata skolotājiem darbam pirmsskolā  ""Supervaroņi internetā"" .",Metodiskie ieteikumi skolotājiem darbam ar īsfilmām „Supervaroņi internetā”.,Rokasgrāmata;,0,"Valsts policija, Kultūras ministrija, www.drossinternets.lv",cieņa; brīvība ,gudrība; drosme ,cieņa; rūpes ,atklātība; pašiniciatīva ,
https://drossinternets.lv/lv/materials/listall/berniem,4. klase,Attiecības tiešsaistē,3. nodarbība: Veselīga draudzība tiešsaistē,Ierosme. Saglabāt drošību tiešsaistē ,drossinternets.lv materiāli,"Materiālu saraksts interneta drošai izmantošanai: Pasakas par drošību internetā; Aizsargā savu kontu ar 2FA; Padomi drošākām mācībām tiešsaistē; Padomi drošai WhatsApp lietošanai; Padomi drošai Instagram lietošanai; Virtuālais restarts; DID2021 viktorīna 1.- 3. klasei; Vaifija interneta alfabēts; Dzejoļi par internetu: ""Aitu dzīve"" animācijas filmiņas un materiāli u.c.","Mājas lapa
;",10,drossinternets.lv,dzīvība (veselība); cieņa ,atbildība; gudrība; mērenība ,cieņa; atbildība; brīvība; harmonija ,pārliecinātība; kritiskā spriestspēja; pašvadība ,
https://e-biblioteka.liepu.lv/magazine/download/182 ,Pirmsskola (5 gadi),Palīdzība,1. nodarbība: Kurš var mums palīdzēt?,Papildmateriāli,"Integrētā nodarbība “Vienmēr steidzas palīgā""","Integrētā nodarbība 4-6 gadus veciem bērniem, kas veido izpratni par profesijām, kuras saistītas ar cilvēku glābšanu.",Integrētās nodarbības plāns;,0,"Oksana Žerebkova un Irina Kozela, Daugavpils 27. pirmsskolas izglītības iestādes skolotājas",dzīvība (veselība); darbs ,atbildība; gudrība ,cieņa; atbildība ,izpalīdzība; zinātkāre; pateicīgums ,
https://forbesbaltics.com/lv/top-50-veiksmigakas-biznesa-sievietes,2. klase,Karjera,"2. nodarbība - Vai ir tādi darbi, kas paredzēti zēniem, un darbi, kas paredzēti meitenēm?",2. aktivitāte. Vienādojums ar nezināmajiem,"Forbes -  ""top 50 veiksmīgākas biznesa sievietes"" (2019)","Forbes veiksmīgāko biznesa sieviešu saraksts - reitingā iekļauts pussimts uzņēmēju un kompāniju vadītāju. Veidojot reitingu, tika ņemti vērā uzņēmumu rādītāji, kas publicēti Lursoft datubāzē. Tika vērtēts uzņēmumu apgrozījums, tā pieaugums, peļņa un eksporta apjoms.",Raksts;,5,Forbes,darbs ,atbildība; centība ,atbildība ,pārliecinātība; čaklums; neatlaidība (noturība); apņēmīgums ,
https://fotokvartals.lv/2021/05/26/viss-attela-del-ka-vara-iznicina-zurnalistiku-baltkrievija/,7. klase,Viltus ziņas,2. nodarbība: Kas padara ziņu patērētāju tikumīgu?,5. aktivitāte. Cilvēks-morālā autoritāte ,“Viss attēla dēļ”. Kā vara iznīcina žurnālistiku Baltkrievijā,Stāsts par žurnālistu darbību un valdības radītajiem šķēršļiem viņu darbam Baltkrievijā 2020. gada augustā,Blogs;,3,Foto kvartāls,brīvība; darbs ,taisnīgums; godīgums; drosme ,brīvība; atbildība; patiesība ,atklātība ,
https://ir.lv/2019/03/08/sievietes-un-viriesi-biznesa-ir-vienlidzigi/,2. klase,Karjera,"2. nodarbība - Vai ir tādi darbi, kas paredzēti zēniem, un darbi, kas paredzēti meitenēm?",2. aktivitāte. Vienādojums ar nezināmajiem,Sievietes un vīrieši biznesā ir vienlīdzīgi ,"Biznesa augstskolas Turība absolvente Ilze Kikste-Vaivara, kura vada viesnīcu Boutique Hotel & Restaurant MaMa. Viņa uzsver, ka biznesā veiksmi izšķir nevis dzimums, bet gadu gaitā uzkrātā pieredze un mīlestība pret to, ko dari",Raksts;,5,IR,cieņa; darbs; Latvijas valsts ,atbildība; centība; drosme ,atbildība; harmonija ,pašiniciatīva; pārliecinātība; neatlaidība (noturība); apņēmīgums; pašiedziļināšanās ,
https://jaunatne.gov.lv/iespejas-jauniesiem/,4. klase,Demokrātija,1. nodarbība: Piedalīšanās demokrātijas veidošanā,Ierosme. Piedalīšanās ,"""Iespējas jauniešiem""","Jaunatnes starptautisko programmu aģentūras lapa: Iespējas jauniešiem Latvijā un Eiropā, ES programmu projekti, EuroPeers – programmu vēstneši, pieredzes stāsti un jaunumi, konkursi","Mājas lapa
;",5,Jaunatnes starptautisko programmu aģentūra,Latvijas valsts; kultūra ,solidaritāte; atbildība; drosme ,cilvēks kā persona; atbildība; saskaņa ,pašiniciatīva; līdzdalīgums; spēja sadarboties ,
https://learningapps.org/display?v=ptmuu97qj21,Pirmsskola (6 gadi),Draugi,3. nodarbība: Strīdi ar draugiem,Kopīgā noslēguma apspriede: 5 pirkstu tehnika.,Kas palīdz draudzībai?,"Interaktīva spēle, kurā jāsaprot kuras īpašības palīdz, kuras traucē draudzībai.","Tiešsaistes spēle - cits
;",0,"Praktiķis (vārds, uzvārds nav minēts)",cieņa ,tolerance; laipnība ,cilvēks kā persona; cieņa ,atklātība; draudzīgums ,
https://likumi.lv/ta/id/176425-alkohola-narkotisko-psihotropo-vai-toksisko-vielu-ietekmes-parbaudes-kartiba,7. klase,Narkotikas alkohols,1. nodarbība: Saprātīga izvēle,,"Alkohola, narkotisko, psihotropo vai toksisko vielu ietekmes pārbaudes kārtība","Noteikumi nosaka alkohola, narkotisko, psihotropo vai toksisko vielu ietekmes pārbaudes kārtību.",MK noteikumi;,5,Latvijas Vēstnesis,dzīvība (veselība); Latvijas valsts ,atbildība; godīgums ,cilvēks kā persona; atbildība; patiesība ,kritiskā spriestspēja ,
https://likumi.lv/ta/id/275061-brivpratiga-darba-likums,7. klase,Brīvprātīgais darbs,1. nodarbība: Kāpēc jāveic brīvprātīgais darbs?,3. aktivitāte. Tava kopiena ,Brīvprātīgā darba likums,"Brīvprātīgā darba likumā iespējams iepazīties ar tā mērķi, organizēšanas tiesībām un pienākumiem, darba veicēja skaidrojumu, pienākumiem un tiesībām , tiesisko attiecību nodibināšanu un izbeigšanu.",Likums;,5,Latvijas Vēstnesis,brīvība; darbs; Latvijas valsts ,atbildība; godīgums; centība ,cieņa; brīvība; atbildība ,pašiniciatīva; atvērtība jaunajam; apņēmīgums ,
https://literatura.lv/lv/person/Anna-Irbe/1473554,6. klase,Nauda,1. nodarbība: Vēlmes un vajadzības,3. aktivitāte. Cilvēks - morālā autoritāte,Anna Irbe,"Biogrāfijā ir iespējams iepazīties ar Annas Irbes personisko informāciju, profesionālo darbību, citātu galeriju, nodarbēm, dzimšanas datiem, izglītību.",Biogrāfija;,5,LU LFMI,kultūra; Latvijas valsts ,gudrība ,cilvēks kā persona; brīvība; rūpes ,līdzjūtība; pašiniciatīva; atvērtība jaunajam; apņēmīgums; pazemība ,
https://lv.wikipedia.org/wiki/Anna_Irbe ,6. klase,Nauda,1. nodarbība: Vēlmes un vajadzības,3. aktivitāte. Cilvēks un morālā autoritāte,Anna Irbe,Biogrāfijā iespējams iepazīties ar Annas Irbes dzīvesgājumu. ,Biogrāfija;,3,Vikipēdija,kultūra; Latvijas valsts ,gudrība ,cilvēks kā persona; brīvība; rūpes ,līdzjūtība; pašiniciatīva; atvērtība jaunajam; apņēmīgums; pazemība ,
https://lvportals.lv/norises/287732-demokratija-un-viltus-zinas-2017,7. klase,Viltus ziņas,2. nodarbība: Kas padara ziņu patērētāju tikumīgu?,3. aktivitāte. Domāšanas jautājumi ,Demokrātija un viltus ziņas,Rakstā ir iespējams iepazīties bijušo un esošo Eiropas Cilvēktiesību tiesas tiesnešu viedokli par viltus ziņām.,Raksts;,3,Latvijas Vēstnesis,brīvība; Latvijas valsts ,gudrība; atbildība ,atbildība; patiesība ,zinātkāre; kritiskā spriestspēja; attapība ,
https://maciunmacies.valoda.lv/speles/valodina/aiziet.html ,Pirmsskola (6 gadi),Drošība Internetā,1. nodarbība: Internets ir lielisks,1. aktivitāte. Interneta izmantošana.,Valodiņa. 10 piedzīvojumi valodas pasaulē.,Izglītojoša spēle latviešu valodas apguvei. ,"Tiešsaistes spēle - cits
;",0,Māci un mācies !,darbs ,gudrība; atbildība ,atbildība ,apņēmīgums; zinātkāre ,"Papildus interneta vietnes, kuras izmantot vērtīga satura apguvei - (https://pasakas.nn.lv/), (www.tavaklase.lv) . "
https://manadrosiba.lv/wp-content/uploads/2019/06/e-forma_14plus_alkoholsm.png,7. klase,Narkotikas alkohols,1. nodarbība: Saprātīga izvēle,2. aktivitāte. Narkotiku kaitīgā ietekme ,Alkohols,"Infografikā iespējams iepazīties ar individuālām problēmām, riskantas uzvedības, likumpārkāpumu, seksuālas dabas un attiecību problēmām, kuras var izraisīt alkohola lietošana.","Attēls / plakāts
;",2,Valsts policija,dzīvība (veselība) ,atbildība; gudrība; savaldība ,atbildība ,kritiskā spriestspēja ,
https://manadrosiba.lv/wp-content/uploads/2019/06/e-forma_14plus_narkotikasm.png,7. klase,Narkotikas alkohols,1. nodarbība: Saprātīga izvēle,2. aktivitāte. Narkotiku kaitīgā ietekme ,Narkotikas,"Infografikā ir pieejama informācija par to, kādu risku veselībai rada narkotikas. Kāda atbildība iestājas tās lietojot un kur vērsties pēc palīdzības.","Attēls / plakāts
;",2,Valsts policija,dzīvība (veselība) ,atbildība; gudrība; savaldība ,atbildība ,kritiskā spriestspēja ,
